,LONGITUDE,LATITUDE,COUNT,pressure,wind speed,ELEVATION
0,101.0,15.0,114,740.1739130434783,14.411067193675889,40.05849802371496
1,138.0,36.0,839,933.5102685624013,10.726698262243286,25.857661927330355
2,103.8333,1.2833,226,898.8023952095808,-1.1976047904191616,5.296407185628743
3,84.25,28.1667,1,973.0321100917431,-1.628440366972477,77.94082568807309
4,112.5,2.5,428,923.39375,8.503125,2.990625
5,-123.1207,49.2827,73,909.3230769230769,-6.75076923076923,56.62523076923043
6,151.2093,-33.8688,134,1114.2572614107885,7.195020746887967,9.46058091286307
7,144.9631,-37.8136,57,986.3716216216217,4.547297297297297,131.85304054054058
8,153.4,-28.0167,61,977.7350993377484,13.062913907284768,3.986754966887417
9,104.9167,11.55,7,1131.992277992278,14.498069498069498,4.980694980694981
10,81.0,7.0,18,750.6493506493506,-7.194805194805195,20.90909090909091
11,9.0,51.0,5795,918.2878787878788,-38.32683982683983,292.33116883116884
12,26.0,64.0,244,0.0,0.0,0.0
13,54.0,24.0,98,977.7350993377484,-10.758278145695364,15.947019867549669
14,122.0,13.0,140,998.7972027972028,7.230769230769231,318.90472027972186
15,78.0,21.0,113,906.0856031128404,5.653696498054475,308.79377431906613
16,12.0,43.0,24747,958.7857142857143,-30.2987012987013,21.51948051948052
17,16.0,63.0,1022,1067.4492753623188,-41.39492753623188,3.8858695652173805
18,-4.0,40.0,7798,946.5616438356165,-43.10616438356164,628.8390410958904
19,138.6007,-34.9285,20,983.1178451178451,6.4713804713804715,6.079461279461249
20,4.0,50.8333,886,1184.6239316239316,-35.087606837606835,56.39807692307743
21,30.0,26.0,110,0.0,0.0,0.0
22,139.638,35.4437,0,913.5270479134467,13.179289026275116,35.395208655332596
23,35.8623,33.8547,110,1037.5854545454545,16.44181818181818,340.0854545454545
24,44.0,33.0,116,1374.909090909091,5.636363636363637,29.09090909090909
25,57.0,21.0,22,0.0,0.0,0.0
26,65.0,33.0,16,0.0,0.0,0.0
27,50.55,26.0275,214,970.7463235294117,-5.880514705882353,14.647058823529411
28,47.75,29.5,112,972.8351477449455,4.312597200622084,171.44634525660965
29,1.6596,28.0339,48,0.0,0.0,0.0
30,15.2,45.1,49,926.0408805031446,-27.06132075471698,100.51886792452831
31,8.2275,46.8182,2200,910.7687400318979,-36.74641148325359,290.9856459330144
32,14.5501,47.5162,860,931.2476547842401,-35.812382739212005,146.90712945590994
33,35.0,31.0,251,1037.5854545454545,16.44181818181818,340.0854545454545
34,69.3451,30.3753,53,0.0,0.0,0.0
35,-51.9253,-14.235,162,0.0,0.0,0.0
36,43.3569,42.3154,33,959.5,4.78125,311.5145833333342
37,21.8243,39.0742,331,1061.5018050541516,-10.772563176895307,6.675812274368262
38,21.7453,41.6086,14,1011.9659574468085,-13.931914893617021,87.29404255319152
39,8.4689,60.472,1221,0.0,0.0,0.0
40,24.9668,45.9432,131,1013.9037800687286,-14.491408934707904,89.69072164948453
41,25.0136,58.5953,171,1039.2489959839359,-36.7429718875502,51.508634538152776
42,5.2913,52.1326,1135,1044.096803652968,-35.30867579908676,70.86328767123152
43,12.4578,43.9424,101,1007.1194539249146,-35.20477815699659,9.965870307167236
44,27.9534,53.7098,27,0.0,0.0,0.0
45,-19.0208,64.9631,171,0.0,0.0,0.0
46,23.8813,55.1694,12,1111.1442786069651,-32.333333333333336,79.00497512437785
47,-102.5528,23.6345,41,981.974358974359,29.96153846153846,2235.9615384615386
48,174.886,-40.9006,8,981.815331010453,-1.9198606271777003,5.979094076655052
49,8.6753,9.082,2,0.0,0.0,0.0
50,115.8605,-31.9505,17,946.8141025641025,-13.564102564102564,20.334615384615297
51,-7.6921,53.1424,129,1010.5743944636678,-8.581314878892734,17.93771626297578
52,6.1296,49.8153,59,982.0661157024794,-37.86540731995277,221.94096812278616
53,7.4167,43.7333,2,939.4338394793926,-37.63991323210412,164.7711496746204
54,51.1839,25.3548,401,970.7463235294117,-5.880514705882353,14.647058823529411
55,-78.1834,-1.8312,28,0.0,0.0,0.0
56,47.5769,40.1431,23,0.0,0.0,0.0
57,45.0382,40.0691,26,978.6862745098039,4.30718954248366,1211.8692810457517
58,-70.1627,18.7357,11,942.2878787878788,-10.303030303030303,13.893939393939394
59,113.9213,-0.7893,117,664.2857142857143,-0.2857142857142857,23.142857142857142
60,-8.2245,39.3999,245,0.0,0.0,0.0
61,1.5218,42.5063,1,971.4342105263158,-40.63815789473684,94.6875
62,145.9707,-41.4545,6,949.8263665594856,-13.083601286173634,3.987138263665595
63,24.6032,56.8796,30,1111.1442786069651,-32.333333333333336,79.00497512437785
64,-7.0926,31.7917,28,949.175572519084,-25.206106870229007,55.786259541984734
65,45.0,24.0,103,928.4822695035461,2.234042553191489,611.822695035461
66,-14.4524,14.4974,24,516.6666666666666,-6.666666666666667,32.46666666666667
67,-63.6167,-38.4161,45,969.4095238095238,1.8571428571428572,188.1904761904762
68,-71.543,-35.6751,74,0.0,0.0,0.0
69,36.51,31.24,8,1037.5854545454545,16.44181818181818,340.0854545454545
70,31.1656,48.3794,3,1139.904347826087,-9.543478260869565,41.81739130434783
71,19.5033,47.1625,32,911.235541535226,-28.555205047318612,300.03890641430075
72,130.8456,-12.4634,1,923.39375,3.753125,31.301874999999814
73,9.55,47.14,4,915.099358974359,-37.256410256410255,205.13141025641025
74,19.1451,51.9194,119,914.9102167182663,-34.23219814241486,93.90835913312742
75,9.0,34.0,18,1178.320610687023,-28.48854961832061,85.34351145038168
76,17.6791,43.9159,24,917.4641744548287,-28.83177570093458,122.61682242990655
77,14.9955,46.1512,219,921.8625,-30.48125,94.4171875
78,22.9375,-30.5595,51,0.0,0.0,0.0
79,90.4336,27.5142,1,998.781626506024,4.171686746987952,298.28614457831327
80,11.5021,3.8480000000000003,2,1029.2282157676348,14.775933609958507,9.95850622406639
81,-74.2973,4.5709,34,0.0,0.0,0.0
82,-83.7534,9.7489,27,0.0,0.0,0.0
83,-75.0152,-9.19,43,0.0,0.0,0.0
84,21.0059,44.0165,48,951.0264765784115,-21.175152749490834,202.5865580448065
85,19.699,48.669,54,909.3296178343949,-30.71496815286624,412.1831210191083
86,0.8248,8.6195,1,0.0,0.0,0.0
87,14.3754,35.9375,21,912.1172839506173,-20.84259259259259,7.277469135802465
88,-61.0242,14.6415,9,955.3296089385475,-13.1731843575419,49.720670391061454
89,25.4858,42.7339,51,1013.9037800687286,-14.491408934707904,89.69072164948453
90,73.2207,3.2028,13,0.0,0.0,0.0
91,90.3563,23.685,5,1037.7879656160458,6.700095510983763,13.095510983763132
92,-58.4438,-23.4425,6,0.0,0.0,0.0
93,-85.3232,51.2538,104,0.0,0.0,0.0
94,-116.5765,53.9333,39,0.0,0.0,0.0
95,-73.5491,52.9399,24,869.7358490566038,-8.49685534591195,301.4490566037725
96,20.1683,41.1533,42,0.0,0.0,0.0
97,33.4299,35.1264,26,919.5541795665634,5.157894736842105,26.809907120743034
98,114.7277,4.5353,50,963.1134502923977,11.390643274853801,8.148538011695907
99,-121.4905,47.4009,643,0.0,0.0,0.0
100,-74.9481,42.1657,732,903.8134556574923,-3.1345565749235473,94.70948012232417
101,-119.6816,36.1162,426,837.3441295546559,-17.510121457489877,153.61133603238866
102,-71.5301,42.2302,164,910.174717368962,3.2034943473792397,52.89044193216809
103,139.638,35.4437,46,913.5270479134467,13.179289026275116,35.395208655332596
104,-122.6655,37.6489,21,906.5644171779142,-22.095092024539877,2.4923312883435584
105,-83.6431,33.0406,99,869.8647798742138,8.732704402515724,244.12987421383644
106,-105.3111,39.0598,131,822.3062730627306,-31.715867158671585,1605.0553505535056
107,-81.6868,27.7663,115,872.7339743589744,8.439102564102564,8.449839743589726
108,-74.521,40.2989,98,914.9009287925696,1.7523219814241486,19.539318885449003
109,-122.0709,44.571999999999996,36,887.6546546546547,-14.987987987987989,62.212612612612716
110,-97.5635,31.0545,72,863.5015384615384,13.8,194.59938461538349
111,-88.9861,40.3495,93,869.2449297971918,-16.55538221528861,203.97020280811083
112,-77.2098,40.5908,66,751.0305810397554,-0.6116207951070336,88.12966360856318
